Nom_region,sum_Nb_sites_Residentiel,sum_Conso_totale_Residentiel_MWh,average_Conso_moyenne_Residentiel_MWh,sum_Nb_sites_Professionnel,sum_Conso_totale_Professionnel_MWh,average_Conso_moyenne_Professionnel_MWh,sum_Nb_sites_Agriculture,sum_Conso_totale_Agriculture_MWh,sum_Nb_sites_Industrie,sum_Conso_totale_Industrie_MWh,sum_Nb_sites_Tertiaire,sum_Conso_totale_Tertiaire_MWh,sum_Nb_sites_Secteur_non_affecte,sum_Conso_totale_Secteur_non_affecte_MWh,sum_Nombre_d_habitants,average_Taux_de_logements_collectifs,average_Taux_de_residences_principales,average_Superficie_des_logements_30_m2,average_Superficie_des_logements_30_a_40_m2,average_Superficie_des_logements_40_a_60_m2,average_Superficie_des_logements_60_a_80_m2,average_Superficie_des_logements_80_a_100_m2,average_Superficie_des_logements_100_m2,average_Taux_de_chauffage_electrique
Centre-Val de Loire,906640,5086117.621,6.570875702,126713,1213698.27,9.458519474,4710,406764.5527,4172,3344681.855,15610,3613812.568,105,12793.80498,2494779,11.89123621,88.9818604,1.179295204,2.923167039,9.694517054,20.81962084,28.35217512,37.03122563,29.71038287
Occitanie,2303320,11074995.51,5.091861791,347921,3108980.119,8.174868156,3393,276571.6355,9973,4718187.514,39041,8930725.733,118,9013.556227,5675886,18.25775219,76.22578217,1.66784173,3.256705348,8.953958327,16.8893945,25.78801592,43.44408328,30.14266683
Normandie,1313010,7043768.898,6.51859133,179224,1821963.263,10.51228496,1287,176495.9067,5664,5645131.3,21836,5217784.349,106,308454.0378,3205489,14.92296397,86.95690186,1.568966127,3.689030747,10.34985468,20.30176909,27.50675087,36.58362776,31.82372375
Auvergne-Rhône-Alpes,2494410,11434047.91,5.354441783,397240,3547384.928,8.618139176,2100,228240.9814,16419,11133549.15,52399,12324594.78,248,20932.68113,7172196,24.80807017,80.17719715,1.541314359,3.370512706,10.37878106,19.0029142,26.28512325,39.42135464,23.54305417
Bretagne,1039469,4827266.538,5.483959527,142350,1448972.977,12.31131654,3468,762443.5629,5252,4868748.109,19895,4965998.339,70,35030.68798,3251176,13.6342986,83.76478576,1.547808455,3.365932546,10.05882331,18.23373413,25.51370249,41.2799992,34.71165917
Grand Est,1046785,5423318.129,5.953370251,158151,1444991.08,9.151684278,1681,168898.4916,6925,6563246.831,22505,5326092.29,81,47180.38319,4581260,20.94544173,93.32581931,1.00026115,2.032188161,6.852880749,15.53221143,26.32668698,48.25577155,17.02323913
Île-de-France,22942906,82354116.13,6.227347173,3156573,30995865.18,11.21154374,1559,104186.2703,45444,15902951.12,378786,109884189,1572,679016.5254,2044546,32.94479861,94.98978001,3.031656048,5.09874239,12.74119683,19.17249537,21.92638278,36.81001435,30.99725366
Hauts-de-France,1661420,7788057.478,5.955719993,196512,2075408.693,9.935862201,1674,263443.7128,6670,7440200.141,28362,7331718.355,107,106955.898,5948896,15.4223069,94.43224554,1.523026717,3.236939336,10.28071581,20.60012955,28.89575355,35.46343498,22.99782017
Pays de la Loire,1303399,6575518.049,6.468813593,181454,1825542.623,11.33226901,3133,434300.031,7521,6295353.224,24928,5855012.94,103,6062.207283,3472980,10.54780691,90.09067368,1.184831135,2.740878343,7.906250402,18.00683463,29.37125746,40.7899475,36.73107073
Bourgogne-Franche-Comté,1172031,5843510.117,5.427483912,178454,1613942.375,8.647527291,1094,130184.103,6273,5047596.175,16993,3996933.18,82,16394.12801,2783795,18.69818337,86.7948076,1.192091262,2.778492064,8.534003749,17.89125278,26.81679896,42.78735882,17.11690769
Nouvelle-Aquitaine,1545197,7984980.642,5.771648628,231156,2009896.792,8.706903085,5216,513768.6142,8771,4685374.521,32592,7647461.716,138,10629.93861,5724296,12.87086214,84.98111722,1.235602064,2.682993479,7.442291112,15.56320802,26.89388918,46.18201684,28.69250262
Provence-Alpes-Côte d'Azur,3926570,18932600.97,4.911554396,618555,5212877.65,8.546163095,1706,181340.203,9668,4210232.603,56441,14349119.95,168,62671.75234,3104575,34.31010586,69.26443184,2.606446946,5.333416743,14.07302146,21.94720554,23.90067394,32.13923612,35.01339816
