symbol,date,price
Photovolaïque,2011,1561562.00
Photovolaïque,2012,3032031.00
Photovolaïque,2013,3458027.00
Photovolaïque,2014,4408125.00
Photovolaïque,2015,6098587.00
Photovolaïque,2016,6764322.00
Eolienne,2011,5031065.00
Eolienne,2012,5960016.00
Eolienne,2013,5853212.00
Eolienne,2014,5950079.00
Eolienne,2015,7670454.00
Eolienne,2016,9882936.00
Hydraulique,2011,2645365.00
Hydraulique,2012,3230640.00
Hydraulique,2013,3877116.00
Hydraulique,2014,3985045.00
Hydraulique,2015,3950660.00
Hydraulique,2016,4569292.00
Cogénération,2011,4876938.00
Cogénération,2012,4479363.00
Cogénération,2013,4601999.00
Cogénération,2014,3778965.00
Cogénération,2015,3936038.00
Cogénération,2016,4507323.00
Autres,2011,2947784.00
Autres,2012,2177777.00
Autres,2013,2527825.00
Autres,2014,3305664.00
Autres,2015,3128894.00
Autres,2016,4007312.00
